time_s,v_mean,v_std,user00,user01,user02,user10,user11,user12
1621,-0.118766776,0.11730749,-0.122156709,-0.174175113,-0.341862857,-0.001612049,-0.001625966,-0.071167961
1622,-0.137653532,0.120857405,-0.11220865,-0.332228929,-0.226828158,-0.000576388,0.009683233,-0.163762301
1623,-0.144131067,0.115564437,-0.11355336,-0.175339386,-0.349043608,-0.081042603,0.032229304,-0.178036749
1624,-0.138021907,0.079959318,-0.109662622,-0.112758413,-0.283949077,-0.068938792,-0.053673271,-0.199149266
1625,-0.115537237,0.120318472,-0.117522031,0.034808736,-0.296521395,-0.13270779,0.031755537,-0.213036478
1626,-0.123886677,0.091208388,-0.131459847,-0.149894848,-0.271498531,-0.163795099,-0.039366018,0.012694284
1627,-0.076502845,0.123078628,-0.125760645,-0.250194132,-0.177246049,0.112036347,0.032701209,-0.050553802
1628,-0.102330366,0.150312438,-0.127551481,-0.235971093,-0.3373456,0.079018712,0.060339756,-0.052472491
1629,-0.11602297,0.105427183,-0.137131929,-0.06985876,-0.312088042,0.02099607,-0.042817231,-0.155237928
1630,-0.054852396,0.116394911,-0.140689448,-0.172937945,-0.123216361,0.074102819,0.135975853,-0.102349296
1631,-0.089979981,0.166589699,-0.14036341,-0.248750001,-0.275188714,-0.004965439,0.221838087,-0.09245041
1632,-0.088179315,0.200802255,-0.127320722,-0.315604866,-0.313478649,0.082311243,0.241634011,-0.096616909
1633,-0.092761926,0.199029612,-0.149756283,-0.311761349,-0.342013329,0.151447549,0.160033599,-0.064521745
1634,-0.072509864,0.192526008,-0.137444064,-0.316345364,-0.278754473,0.080259927,0.225315839,-0.008091051
1635,-0.093903553,0.154129519,-0.115791768,-0.282422066,-0.266358584,-0.046808165,0.169344425,-0.021385159
1636,-0.145583692,0.134195388,-0.108488992,-0.301100761,-0.241008252,-0.099269435,0.107304469,-0.23093918
1637,-0.120661803,0.137189421,-0.115942135,-0.32625404,-0.203828111,-0.067904189,0.125726044,-0.135768384
1638,-0.11207851,0.133939743,-0.124329835,-0.266916722,-0.281334966,-0.055995274,0.106943548,-0.050837811
1639,-0.097227391,0.112475913,-0.118822172,-0.082382604,-0.331542373,-0.040336777,0.002545249,-0.012825668
1640,-0.133681227,0.123380481,-0.117318213,-0.219596148,-0.338692725,-0.020581093,0.036018908,-0.141918093
1641,-0.107997386,0.133083646,-0.120644629,-0.277324766,-0.25655964,0.057505902,0.059241608,-0.110202789
1642,-0.076372445,0.135931527,-0.155788437,-0.31514436,-0.121006727,0.016933735,0.074628249,0.042142872
1643,-0.119000822,0.169182668,-0.085818931,-0.294416666,-0.337827861,0.000261441,0.157659292,-0.153862208
1644,-0.174254152,0.12049732,-0.095055923,-0.365217477,-0.297487795,-0.114707023,-0.014924407,-0.158132285
1645,-0.088664324,0.133771284,-0.123442829,-0.237634689,-0.257393658,-0.034136187,0.12409471,-0.003473293
1646,-0.083488385,0.111973806,-0.130325645,-0.147623882,-0.14228183,-0.083467185,0.161162645,-0.158394411
1647,-0.122343635,0.200227401,-0.148301527,-0.44683519,-0.2878187,-0.021872837,0.158868656,0.011897787
1648,-0.171545402,0.228108136,-0.152108133,-0.477902323,-0.422494203,0.013322987,0.17599763,-0.166088372
1649,-0.158030848,0.15728113,-0.12630181,-0.329050392,-0.384292006,-0.015407998,0.057802353,-0.150935233
1650,-0.095214774,0.152107477,-0.116520166,-0.038018886,-0.345251858,0.074494779,0.073269971,-0.219262481
1651,-0.102572159,0.151000256,-0.119503394,-0.258324742,-0.321182251,0.076212324,0.074133024,-0.066767916
1652,-0.092087821,0.15676239,-0.125044763,-0.176197663,-0.277961552,0.010018986,0.200870097,-0.184212029
1653,-0.108053043,0.171172985,-0.133425549,-0.359149903,-0.256199718,-0.030949939,0.174865693,-0.043458845
1654,-0.131997596,0.169586009,-0.129176378,-0.395036429,-0.27143088,-0.055703882,0.143296123,-0.083934128
