11_v,01_v,02_v,00_v,12_v,10_v,11_a,01_a,02_a,12_a,10_a,00_a,v_mean,v_std,a_mean,a_std
-0.038528699427843094,-0.4649493992328644,-0.399935781955719,-0.15098325908184052,-0.24218788743019104,-0.046114031225442886,0.28864675760269165,0.36488303542137146,0.3149079382419586,0.364689439535141,0.2748351991176605,0.395495742559433,-0.22378317639231682,0.16366377893640185,0.3339096854130427,0.04396812874112312
-0.03424182906746864,-0.25664079189300537,-0.12404586374759674,-0.13931304216384888,-0.21917656064033508,-0.05413346365094185,0.18674589693546295,0.2725008726119995,0.22414350509643555,0.23921933770179749,0.3533070385456085,0.40177789330482483,-0.13792525852719942,0.08027144981601889,0.27961575736602146,0.07498718383166414
-0.08245335519313812,-0.37271958589553833,-0.1376604586839676,-0.13224859535694122,-0.2605011463165283,-0.0679200142621994,0.2642379105091095,0.2183595448732376,0.2403997927904129,0.47240525484085083,0.24022337794303894,0.42546504735946655,-0.17558385928471884,0.10774535107791482,0.3101818213860194,0.09992710116818239
-0.02905244007706642,-0.28597527742385864,-0.04354347661137581,-0.14050957560539246,-0.31354594230651855,-0.11115291714668274,0.2576415240764618,0.25380152463912964,0.19030016660690308,0.43480515480041504,0.2184317708015442,0.3982480466365814,-0.15396327152848244,0.11007783141401821,0.2922046979268392,0.09135687995573162
-0.05606753006577492,-0.28061801195144653,-0.3610343635082245,-0.07787452638149261,-0.30142417550086975,-0.09994401037693024,0.2911470830440521,0.25894495844841003,0.16561861336231232,0.4222063422203064,0.16918544471263885,0.47071629762649536,-0.19616043629745641,0.1212931216985954,0.2963031232357025,0.11614010109377368
-0.010505922138690948,-0.21388790011405945,-0.2489340603351593,-0.09501229226589203,-0.47477832436561584,-0.1050078272819519,0.18784357607364655,0.3543332517147064,0.3664059042930603,0.49416059255599976,0.37612637877464294,0.46415144205093384,-0.19135438775022826,0.14921796200081724,0.37383685757716495,0.09803815392321827
0.07666359841823578,-0.2788425087928772,-0.1039310097694397,-0.0930391401052475,-0.28325244784355164,-0.16319093108177185,0.24807274341583252,0.24061807990074158,0.2299385964870453,0.30740034580230713,0.16142672300338745,0.4673677086830139,-0.14093207319577536,0.12300441867449372,0.27580403288205463,0.09564504853012293
0.26697325706481934,-0.19789069890975952,-0.11160476505756378,-0.12109193205833435,-0.22782209515571594,-0.0639500766992569,0.24401937425136566,0.20027701556682587,0.25830620527267456,0.46067434549331665,0.37927308678627014,0.4230101704597473,-0.07589771846930186,0.16278004875387012,0.3275933663050334,0.0978778856899716
0.21843230724334717,-0.15662138164043427,-0.12787455320358276,-0.1265219748020172,-0.2032078206539154,-0.11613978445529938,0.2619641423225403,0.4252912700176239,0.2315652072429657,0.4016716480255127,0.3507653474807739,0.4201500415802002,-0.08532220125198364,0.1388675875602139,0.34856794277826947,0.07640370441073643
0.019822223111987114,-0.31189194321632385,-0.21807414293289185,-0.08605444431304932,-0.21664735674858093,-0.04691310599446297,0.3854256570339203,0.14944282174110413,0.32655441761016846,0.38520047068595886,0.29942283034324646,0.4559137225151062,-0.14329312834888697,0.11443382140086475,0.3336599866549174,0.09612554108071121
-0.1234181821346283,-0.014786310493946075,-0.13230900466442108,-0.13400116562843323,-0.32523995637893677,-0.08761607110500336,0.22724603116512299,0.18596898019313812,0.36860159039497375,0.3810734748840332,0.4239216446876526,0.41698935627937317,-0.1362284484008948,0.09400454952063615,0.3339668462673823,0.09282232456558598
0.06304199993610382,-0.2343311309814453,-0.18207263946533203,-0.12796074151992798,-0.0830397754907608,0.0382620170712471,0.4182365834712982,0.22757002711296082,0.3506629467010498,0.36886170506477356,0.3213406503200531,0.4255160987377167,-0.08768337840835254,0.10850430658464814,0.35203133523464203,0.0664590281763441
0.04517942667007446,-0.45850053429603577,-0.09505605697631836,-0.13012558221817017,-0.05859145149588585,-0.052088383585214615,0.31773972511291504,0.31175583600997925,0.2939383089542389,0.33262935280799866,0.38196030259132385,0.4006170630455017,-0.12486376365025838,0.15855211693896293,0.33977343142032623,0.03852281961266139
-0.029899802058935165,-0.09066928923130035,-0.16612862050533295,-0.1289302557706833,-0.2041769027709961,-0.10151070356369019,0.5134878158569336,0.29561349749565125,0.2837141454219818,0.2566702961921692,0.3028598725795746,0.3990113139152527,-0.120219262316823,0.05569747443124781,0.3418928235769272,0.0885252773373291
0.08361665904521942,-0.11561264097690582,-0.22782114148139954,-0.12544602155685425,-0.33433979749679565,-0.08240556716918945,0.42833855748176575,0.2221846580505371,0.27375340461730957,0.32041773200035095,0.3502843976020813,0.40383046865463257,-0.1336680849393209,0.12869087079540073,0.3331348697344462,0.07112611995341522
