,00_v,01_v,02_v,10_v,11_v,12_v,00_a,01_a,02_a,10_a,11_a,12_a,v_mean,a_mean,v_std,a_std
45,-0.118745506,-0.320794135,-0.178027511,0,-0.125514537,-0.146947607,0.372017711,0.476663828,0.400231242,0,0.191627979,0.394900471,-0.148338216,0.305906872,0.103947397,0.177191539
46,-0.112045333,-0.198247522,-0.151766628,0,0.066740125,-0.182050511,0.381341368,0.487304598,0.372585148,0,0.035009921,0.531309247,-0.096228312,0.30125838,0.106702063,0.228334072
47,-0.116377503,-0.399525702,-0.167131364,-0.15310955,-0.01552495,-0.10009478,0.389997482,0.445318729,0.371357292,0.257359177,0.177387238,0.365620613,-0.158627308,0.334506755,0.129479101,0.098308535
48,-0.113058999,-0.281621128,-0.189992532,-0.1241377,-0.050740805,-0.146493003,0.386649281,0.230510697,0.396040857,0.285244465,0.23241353,0.366665781,-0.151007361,0.316254102,0.078505564,0.07642711
49,-0.111201942,-0.324009448,-0.184026882,-0.12816143,-0.028590295,-0.276613593,0.394769967,0.359859169,0.321456194,0.291065276,0.192156017,0.432667375,-0.175433932,0.331995666,0.109826534,0.085080298
50,-0.103616327,-0.146294221,-0.175327808,-0.188289151,-0.005007736,0.050121408,0.38730514,0.291466504,0.261617869,0.326095819,0.262493044,0.466967881,-0.094735639,0.33265771,0.096973369,0.080913629
51,-0.101378202,-0.303099662,-0.158881724,-0.111332744,0.001278374,-0.101389214,0.388376713,0.228094622,0.265153497,0.276410282,0.225386977,0.58502382,-0.129133862,0.328074319,0.100013407,0.139160524
52,-0.132792488,-0.302842557,-0.14257127,-0.128146157,-0.044941541,-0.102383658,0.388383836,0.313018411,0.276082128,0.321522593,0.22438094,0.51058948,-0.142279612,0.338996231,0.086182007,0.099958394
53,-0.150663167,-0.326963067,-0.170648187,-0.110855281,-0.143140242,-0.195958331,0.394894302,0.240218163,0.194098368,0.335489631,0.133622229,0.436788231,-0.183038046,0.289185154,0.076006806,0.118948967
54,-0.117790624,-0.222110212,-0.100064591,-0.12063624,-0.064341158,-0.198669136,0.426325053,0.284884244,0.303106397,0.336803436,0.291243136,0.602073669,-0.13726866,0.374072656,0.060542055,0.123252003
55,-0.124224484,-0.04251815,-0.155463964,-0.163621962,-0.130890578,-0.270115107,0.408199012,0.208646759,0.358302563,0.29866451,0.118830234,0.595268369,-0.147805708,0.331318575,0.07375101,0.165875971
56,-0.138407722,-0.569465578,-0.272890806,-0.065535441,-0.075339317,-0.257520556,0.405833393,0.255819082,0.35235101,0.173757598,0.183728337,0.409550101,-0.229859903,0.29683992,0.188250592,0.107042833
57,-0.11338307,-0.424975306,-0.259074241,-0.055439468,-0.079120904,-0.317786634,0.396059483,0.283755958,0.379939348,0.263707519,0.260901898,0.581307054,-0.208296604,0.36094521,0.14871203,0.122943194
58,-0.112357542,-0.276810199,-0.23146531,-0.101517111,-0.064658925,-0.280108362,0.38654089,0.298231006,0.404807478,0.305560172,0.150033146,0.552724838,-0.177819575,0.349649588,0.095971538,0.134221749
59,-0.116518945,-0.271523863,-0.256541491,-0.116467744,-0.053737435,-0.175237551,0.390218049,0.195515484,0.328685015,0.296926081,0.166737989,0.52057761,-0.165004505,0.316443371,0.085926871,0.130138025
60,-0.119333327,-0.082168385,-0.274220914,-0.083508492,-0.082213655,-0.310649455,0.37725386,0.213256404,0.45960483,0.289975464,0.27780959,0.638456345,-0.158682371,0.376059416,0.105208805,0.154532655
61,-0.114959195,0.09569256,-0.17617467,-0.020933311,-0.067900151,-0.336830109,0.39700076,0.281525016,0.286008596,0.38254571,0.323264033,0.503737569,-0.103517479,0.362346947,0.146709333,0.084246528
62,-0.113584235,-0.273240536,-0.217042983,-0.046958808,-0.065109953,-0.20213224,0.397281438,0.258718282,0.374462098,0.334768951,0.205050021,0.382210165,-0.153011459,0.325415159,0.091100235,0.077226641
63,-0.108281434,-0.2766141,-0.165885136,-0.103353292,-0.037178326,-0.105658174,0.384517372,0.196254104,0.277080774,0.379782051,0.147195756,0.319841921,-0.13282841,0.284111996,0.081394802,0.096979514
64,-0.114802271,-0.335378408,-0.11352773,-0.066356272,-0.00254545,-0.166316673,0.390357554,0.398747057,0.384806216,0.33096388,0.279567122,0.470058322,-0.133154467,0.375750025,0.113346354,0.064769225
65,-0.103738353,-0.10769707,-0.254544973,-0.12500447,-0.0585909,-0.152205512,0.40986836,0.552937508,0.375889868,0.249201149,0.255403012,0.412790328,-0.133630213,0.376015038,0.066688491,0.113515698
66,-0.119586661,-0.070170522,-0.162483618,-0.146610498,-0.073826343,-0.095510304,0.365455031,0.025094271,0.365155458,0.303216726,0.150051594,0.262525111,-0.111364658,0.245249699,0.038158776,0.134176317
67,-0.12552169,-0.345443934,-0.24714002,0.001330003,-0.056017432,0.033033021,0.378718466,0.220231608,0.427649677,0.132947192,0.187359497,0.257291019,-0.123293342,0.267366243,0.147776053,0.113914741
68,-0.131143838,-0.07822217,-0.149277955,-0.153904215,-0.057260249,-0.07829234,0.427519441,0.090574145,0.249377206,0.180312261,0.161628902,0.377324849,-0.108016795,0.247789467,0.041690499,0.130979596
69,-0.155615091,-0.233563393,-0.180989057,-0.15564543,-0.043628205,-0.088051736,0.365133107,0.414359033,0.416067362,0.439420581,0.278677076,0.353884518,-0.142915485,0.377923613,0.067613559,0.058575955
70,-0.138635993,-0.16895853,-0.252274454,-0.137908936,-0.052922104,-0.291608751,0.383059204,0.308328122,0.405919164,0.337914765,0.207661316,0.269669503,-0.173718128,0.318758679,0.086251589,0.073429737
71,-0.147166446,-0.260428846,-0.245121986,-0.053386722,-0.039624926,-0.142651856,0.380376011,0.425819606,0.335708171,0.433387727,0.21048069,0.331496567,-0.148063464,0.352878129,0.092519217,0.081960231
72,-0.143551856,-0.333939523,-0.279695302,-0.172526464,-0.05942193,-0.218449116,0.392504573,0.341552526,0.40578568,0.324493468,0.162075981,0.52402246,-0.201264032,0.358405781,0.098311039,0.119009188
73,-0.115024552,-0.13825424,-0.256583422,-0.166708946,-0.068606958,-0.147548363,0.39556247,0.079185486,0.216686875,0.321173638,0.210572153,0.361325383,-0.148787747,0.264084334,0.062645798,0.117727794
74,-0.141734764,-0.100045756,-0.156933323,-0.167956814,-0.039039072,-0.20485656,0.357838422,0.144329011,0.235579938,0.272688419,0.201279044,0.332040399,-0.135094382,0.257292539,0.058176909,0.080378427
75,-0.159794331,-0.275299162,-0.272514343,-0.144120604,-0.054093052,-0.23999691,0.364300013,0.629685581,0.212482482,0.254668057,0.196881801,0.452844739,-0.190969734,0.351810446,0.087254355,0.167588973
76,-0.146597922,-0.296916306,-0.20238775,-0.146436393,-0.080215931,-0.08751826,0.38690123,0.311370015,0.245561272,0.273752451,0.160996139,0.324494481,-0.160012094,0.283845931,0.080654179,0.077058341
77,-0.14154762,-0.388734519,-0.246186107,-0.137824774,-0.105877921,-0.26534754,0.386924654,0.315297663,0.347384959,0.311189055,0.1933088,0.393681139,-0.21425308,0.324631045,0.106720832,0.073047219
78,-0.144340679,-0.36462903,-0.165368736,-0.139393196,-0.109616265,-0.152891859,0.381554008,0.294631124,0.355946392,0.290449768,0.178028136,0.15227358,-0.179373294,0.275480501,0.092637808,0.092729804
79,-0.114890561,-0.322562188,-0.152581215,-0.148298591,-0.108930558,-0.131528541,0.420910895,0.276488781,0.386881262,0.290004134,0.228669003,0.425822526,-0.163131942,0.338129434,0.08001643,0.083686068
80,-0.123605311,-0.172092259,-0.119169265,-0.156682163,-0.076663166,-0.221209109,0.399228096,0.425057888,0.355778992,0.272119612,0.16294755,0.419782639,-0.144903546,0.339152463,0.049946208,0.103255087
81,-0.133860901,-0.117434487,-0.160630479,-0.142880023,-0.039583672,0.023938708,0.397712201,0.254450023,0.293822169,0.275353014,0.200844496,0.138036042,-0.095075142,0.260036324,0.071875843,0.08803372
82,-0.130712554,-0.38789463,-0.227284968,-0.166441992,-0.015998509,-0.222589672,0.376650155,0.487138718,0.515704691,0.266912073,0.465999961,0.314530909,-0.191820388,0.404489418,0.123240543,0.100775368
83,-0.130828589,-0.445876569,-0.140456259,-0.149628446,0.044826973,-0.277754486,0.380086988,0.202835724,0.388227701,0.273460746,0.568045735,0.393008441,-0.183286229,0.367610889,0.164701322,0.124430682
84,-0.124140173,-0.21631065,-0.118526071,-0.1427062,-0.083301842,-0.299330473,0.396841377,0.226783931,0.330763072,0.293852627,0.212132215,0.37805739,-0.164052568,0.306405102,0.079590234,0.076538296
85,-0.10119313,-0.260913819,-0.247335404,-0.155878812,-0.073623121,-0.254195005,0.420279056,0.283200532,0.261218071,0.29382503,0.215245798,0.399699777,-0.182189882,0.312244711,0.083265386,0.080641384
86,-0.10225606,-0.151869163,-0.148638904,-0.147372395,-0.018263549,-0.416963577,0.41673404,0.191926196,0.367822856,0.293099552,0.251255453,0.421191156,-0.164227275,0.323671542,0.133941246,0.093440478
87,-0.109338909,-0.069095001,-0.215155482,-0.132809341,-0.023026425,-0.110920638,0.411835134,0.117000639,0.348171175,0.318590909,0.166952044,0.402883887,-0.110057633,0.294238965,0.064524147,0.123894845
88,-0.118326381,-0.100767359,-0.209841609,-0.081177652,-0.075385854,-0.286562234,0.408020318,0.34954688,0.259651899,0.321214259,0.195198447,0.287976146,-0.145343515,0.303601325,0.084653437,0.073826036
