time_s,a_mean,a_std,user00,user10,user01
45.0,0.22778036197026572,0.038309678027282135,0.2309363931417465,0.1879902929067612,0.26441439986228943
46.0,0.1996688644091288,0.06705062084128847,0.18824659287929527,0.13906307518482208,0.27169692516326904
47.0,0.22302384177843734,0.0811331771223498,0.2814581394195557,0.13039007782936096,0.2572233080863953
48.0,0.2825104196866353,0.17306636844349876,0.35064589977264404,0.08574622869491577,0.4111391305923462
49.0,0.23330038289229074,0.042119457263851835,0.2686658501625061,0.18670378625392914,0.24453151226043696
50.0,0.22914022207260132,0.012171376901866105,0.21528837084770205,0.2381245642900467,0.23400773108005524
51.0,0.2821591595808665,0.04974429274747593,0.3291662037372589,0.23006808757781985,0.28724318742752075
52.0,0.2549787163734436,0.03643838422641368,0.29150715470314026,0.2186310589313507,0.25479793548583984
53.0,0.27108098566532135,0.023039734888474092,0.28890109062194824,0.2450635582208633,0.2792783081531525
54.0,0.19150909781455994,0.005831017760095341,0.1861332803964615,0.1977078765630722,0.19068613648414606
55.0,0.26950768133004505,0.08862506743007159,0.1890627890825272,0.36451029777526855,0.2549499571323395
56.0,0.2838363995154699,0.09051819726201477,0.3813562691211701,0.2676486968994141,0.2025042325258255
57.0,0.2504630759358406,0.07672723135930914,,0.30471742153167725,0.196208730340004
58.0,0.2135378867387772,0.09870899395715088,,0.14374008774757385,0.2833356857299805
59.0,0.24126322070757547,0.021287310743747564,0.2272250801324845,0.2308080941438675,0.2657564878463745
60.0,0.1931621779998143,0.06399266113916492,0.2484884560108185,0.12308073043823242,0.20791734755039207
61.0,0.17114786803722382,0.11618025411495929,0.28577089309692383,0.053470611572265625,0.174202099442482
62.0,0.1820948670307795,0.06908678853335397,0.2423854470252991,0.1067083477973938,0.1971908062696457
63.0,0.10413570205370586,0.031089764303567077,0.13428348302841187,0.07218262553215027,0.10594099760055542
64.0,0.20418443282445273,0.035963343042205935,0.2305628806352616,0.1632194072008133,0.21877101063728333
65.0,0.15270188450813293,0.1126448525598958,0.08739227056503296,0.08794081211090088,0.28277257084846497
