time_s,rppg_mean,rppg_std,user00,user10,user01
88.12,0.259894233,0.407675568,0,0.0499287,0.729754
88.16,0.1700717,0.220065796,0,0.0915971,0.418618
88.2,-0.014081667,0.12371005,0,0.101985,-0.14423
88.24,-0.206808667,0.273900787,0,-0.102983,-0.517443
88.28,-0.267119833,0.383738161,0,-0.0945095,-0.70685
88.32,-0.265437167,0.389558199,0,-0.0836515,-0.71266
88.36,-0.241998867,0.370380605,0,-0.0576146,-0.668382
88.4,-0.093418867,0.123520955,0,-0.0467896,-0.233467
88.44,0.067346067,0.155877319,0,-0.0435358,0.245574
88.48,0.2021469,0.370737362,0,-0.0235803,0.630021
88.52,0.10817,0.471251751,0,-0.299592,0.624102
88.56,0.120048933,0.203701374,0,0.0049008,0.355246
88.6,0.040438,0.04151076,0,0.0383698,0.0829442
88.64,-0.0325351,0.111854317,0,0.0594447,-0.15705
88.68,-0.0615651,0.05332652,0,-0.0933584,-0.0913369
88.72,0.078724067,0.07821948,0,0.0797432,0.156429
88.76,0.22701,0.232979946,0,0.215497,0.465533
88.8,0.1248244,0.161878808,0,0.0667422,0.307731
88.84,-0.011927333,0.123293453,0,0.104969,-0.140751
88.88,-0.2265213,0.338863402,0,-0.0634769,-0.616087
88.92,-0.383803667,0.492896454,0,-0.211744,-0.939667
88.96,-0.321984667,0.319840997,0,-0.326316,-0.639638
89,-0.148428667,0.130848198,0,-0.247096,-0.19819
89.04,0.109474267,0.235342048,0,-0.0511892,0.379612
89.08,0.291291,0.379857667,0,0.15294,0.720933
89.12,0.423058333,0.487252593,0,0.313369,0.955806
89.16,0.373474,0.39577875,0,0.332113,0.788309
89.2,0.196557523,0.333041682,0,0.00858357,0.581089
89.24,0.071659467,0.114251705,0,0.0115614,0.203417
89.28,-0.050800483,0.092374575,0,0.00502455,-0.157426
89.32,-0.138599813,0.244139682,0,0.00469556,-0.420495
89.36,-0.207305263,0.350580559,0,-0.00983479,-0.612081
89.4,-0.1634486,0.320814432,0,0.0427252,-0.533071
89.44,0.008937333,0.191825213,0,0.205075,-0.178263
89.48,0.162899667,0.145978727,0,0.281867,0.206832
89.52,0.274567,0.249241528,0,0.337144,0.486557
89.56,0.248377333,0.270070925,0,0.209257,0.535875
89.6,0.1570447,0.256311701,0,0.0183151,0.452819
89.64,-0.010943333,0.128457078,0,-0.144522,0.111692
